tx_price,beds,baths,sqft,year_built,lot_size,basement,median_age,married,college_grad,property_tax,insurance,median_school,num_schools,tx_year,lifestyle_avg,two_and_two,exterior_walls_Brick,exterior_walls_Brick veneer,exterior_walls_Combination,exterior_walls_Metal,exterior_walls_Other,exterior_walls_Siding (Alum/Vinyl),exterior_walls_Wood,exterior_walls_missing,roof_Asphalt,roof_Composition Shingle,roof_Other,roof_Shake Shingle,roof_missing,property_type_Apartment / Condo / Townhouse,property_type_Single-Family
220000.0,1.0,1.0,800.0,1985.0,0.0,1.0,39.0,64.0,81.0,184.0,56.0,6.0,3.0,2015.0,-0.5439530804357409,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
305000.0,1.0,1.0,805.0,1941.0,0.0,0.0,36.0,37.0,80.0,150.0,49.0,4.0,3.0,2005.0,0.6178863813494753,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
409575.0,1.0,1.0,805.0,2005.0,46609.0,0.0,29.0,15.0,82.0,302.0,104.0,9.0,3.0,2006.0,2.5248225897648258,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
300367.0,1.0,1.0,805.0,2007.0,0.0,1.0,32.0,43.0,63.0,261.0,79.0,5.0,3.0,2007.0,0.8571226846109113,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
230000.0,1.0,1.0,809.0,1965.0,0.0,0.0,40.0,41.0,90.0,172.0,60.0,9.0,3.0,2007.0,0.3917138628568987,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
270000.0,1.0,1.0,810.0,1975.0,0.0,1.0,45.0,47.0,54.0,190.0,58.0,3.0,3.0,2005.0,1.1264898294677872,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
210000.0,1.0,1.0,811.0,1969.0,0.0,0.0,30.0,72.0,34.0,143.0,49.0,4.0,3.0,2011.0,0.8279664127321783,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
366700.0,1.0,1.0,817.0,2004.0,0.0,1.0,32.0,32.0,88.0,274.0,83.0,7.0,3.0,2006.0,1.4387583507946833,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
238600.0,1.0,1.0,834.0,1992.0,0.0,0.0,43.0,32.0,66.0,185.0,61.0,2.0,3.0,2013.0,0.5162112166075008,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
284900.0,1.0,1.0,838.0,2007.0,0.0,1.0,32.0,43.0,63.0,249.0,76.0,5.0,3.0,2008.0,0.8571226846109113,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
253000.0,1.0,1.0,850.0,1974.0,0.0,0.0,32.0,13.0,72.0,146.0,48.0,2.0,3.0,2005.0,1.027056680831099,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
305000.0,1.0,1.0,850.0,1984.0,0.0,1.0,56.0,24.0,66.0,200.0,61.0,5.0,3.0,2006.0,0.4696915232161551,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
280000.0,1.0,1.0,850.0,1986.0,0.0,1.0,56.0,24.0,66.0,180.0,55.0,5.0,3.0,2005.0,0.4484955510715415,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
411000.0,1.0,1.0,855.0,2006.0,0.0,0.0,36.0,36.0,90.0,298.0,103.0,9.0,3.0,2007.0,0.8328065815606296,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
270900.0,1.0,1.0,856.0,2005.0,0.0,0.0,33.0,16.0,72.0,167.0,58.0,4.0,3.0,2005.0,0.48077346277379196,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
406250.0,1.0,1.0,859.0,2000.0,0.0,0.0,36.0,25.0,91.0,316.0,109.0,9.0,3.0,2006.0,2.6182734313405844,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
365000.0,1.0,1.0,866.0,1989.0,0.0,0.0,32.0,31.0,85.0,277.0,96.0,6.0,3.0,2015.0,2.3005683166721025,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
440000.0,1.0,1.0,879.0,2008.0,0.0,0.0,29.0,15.0,82.0,367.0,127.0,9.0,3.0,2009.0,2.5050523199262176,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
250000.0,1.0,1.0,880.0,1965.0,0.0,0.0,37.0,42.0,57.0,125.0,43.0,4.0,3.0,2005.0,0.5221164801781936,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
350100.0,1.0,1.0,900.0,1947.0,18730.0,1.0,31.0,51.0,47.0,294.0,89.0,4.0,3.0,2006.0,0.14076395115026455,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
250000.0,1.0,1.0,900.0,1965.0,0.0,0.0,57.0,13.0,83.0,198.0,68.0,6.0,3.0,2011.0,1.9553144334178127,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
305000.0,1.0,1.0,902.0,1978.0,0.0,1.0,43.0,64.0,72.0,258.0,78.0,10.0,3.0,2005.0,2.676254215042481,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
200000.0,1.0,1.0,914.0,1982.0,0.0,1.0,52.0,33.0,53.0,180.0,54.0,3.0,3.0,2007.0,1.287654156316655,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
371500.0,1.0,1.0,917.0,2007.0,0.0,1.0,32.0,43.0,63.0,319.0,97.0,5.0,3.0,2013.0,0.8571226846109113,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
270000.0,1.0,1.0,920.0,1978.0,0.0,1.0,34.0,66.0,72.0,168.0,51.0,8.0,3.0,2005.0,-0.09433502769558993,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
